movie_name,production_year,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,350k_Movies.budget,350k_Movies.genres,350k_Movies.imdb_id,350k_Movies.original_language,350k_Movies.overview,350k_Movies.popularity,350k_Movies.production_companies,350k_Movies.production_countries,350k_Movies.release_date,350k_Movies.revenue,350k_Movies.runtime,350k_Movies.spoken_languages,350k_Movies.tagline,350k_Movies.vote_average,350k_Movies.vote_count,350k_Movies.actor1_name,350k_Movies.actor1_gender,350k_Movies.actor2_name,350k_Movies.actor2_gender,350k_Movies.actor3_name,350k_Movies.actor3_gender,350k_Movies.actor4_name,350k_Movies.actor4_gender,350k_Movies.actor5_name,350k_Movies.actor5_gender,350k_Movies.director_name,350k_Movies.director_gender,350k_Movies.producer_name,350k_Movies.screeplay_name,350k_Movies.editor_name
Blood and Chocolate,2007,15000000,3526588,3024722,PG-13,Fantasy,Based on Fiction Book/Short Story,Live Action,Horror,0,98,0,Drama|Fantasy|Horror|Romance,tt0397044,en,A young teenage werewolf is torn between honoring her family's secret and her love for a man.,1.32163,Lakeshore Entertainment,Romania,26/01/2007,0,98,English,The hunt never tasted so sweet.,5.3,76,Agnes Bruckner,1,Hugh Dancy,2,Katja Riemann,1,Olivier Martinez,2,Bryan Dick,2,Katja von Garnier,1,Wolfgang Esenwein,none,Emma E. Hickox
Reno 911!: Miami,2007,10000000,20342161,1509201,R,Contemporary Fiction,Based on TV,Live Action,Comedy,0,80,10000000,Action|Adventure|Comedy|Crime,tt0499554,en,A rag-tag team of Reno cops are called in to save the day after a terrorist attack disrupts a national police convention in Miami Beach during spring break. Based on the Comedy Central series.,0.32793,Paramount Pictures,United States of America,23/02/2007,20342161,84,English,"In a time of crisis, America will call Reno 911!",5.6,68,Lennie Loftin,2,Danny DeVito,2,Ben Garant,2,Carlos Alazraqui,2,Mary Birdsong,1,Ben Garant,2,Danny DeVito,none,John Refoua
Iron Man 2,2010,170000000,312433331,308723058,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Adventure,1,125,200000000,Adventure|Action|Science Fiction,tt1228705,en,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",9.121796,Marvel Studios,United States of America,28/04/2010,623933331,124,English,"It's not the armor that makes the hero, but the man inside.",6.6,6412,Robert Downey Jr.,2,Gwyneth Paltrow,1,Don Cheadle,2,Scarlett Johansson,1,Mickey Rourke,2,Jon Favreau,2,Kevin Feige,Justin Theroux,Dan Lebental
Milk,2008,20000000,31841299,25452072,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,128,20000000,History|Drama,tt1013753,en,"The story of California's first openly gay elected official, Harvey Milk, who  became an outspoken agent for change, seeking equal rights and opportunities for all. His great love for the city and its people brought him backing from young and old, straight and gay, alike – at a time when prejudice and violence against gays was openly accepted as the norm.",2.453991,Focus Features,United States of America,26/11/2008,54586584,128,English,Never Blend In.,7.1,568,Sean Penn,2,Emile Hirsch,2,James Franco,2,Josh Brolin,2,Diego Luna,2,Gus Van Sant,2,Bruce Cohen,none,Gus Van Sant
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,155000000,104386950,313800000,PG,Fantasy,Based on Fiction Book/Short Story,Animation/Live Action,Adventure,1,115,155000000,Adventure|Family|Fantasy,tt0980970,en,"This time around Edmund and Lucy Pevensie, along with their pesky cousin Eustace Scrubb find themselves swallowed into a painting and on to a fantastic Narnian ship headed for the very edges of the world.",7.005271,Dune Entertainment,United States of America,13/08/2010,415686217,113,English,Return to magic. Return to hope. Return to Narnia.,6.1,1364,Skandar Keynes,2,Georgie Henley,1,Simon Pegg,2,Gary Sweet,2,Arthur Angel,2,Michael Apted,2,Mark Johnson,Christopher Markus,Rick Shaine
He's Just Not That Into You,2009,40000000,93953653,87100004,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Romantic Comedy,0,129,40000000,Comedy|Romance|Drama,tt1001508,en,"Remember that really cute guy who said he'd call – and didn't? Maybe he lost your number. Maybe he's in the hospital. Maybe he's awed by your beauty, brains or success. Or maybe... he's just not that into you.",1.518172,New Line Cinema,Netherlands,6/2/2009,177259441,129,English,Are you the exception...or the rule?,6.2,876,Ben Affleck,2,Jennifer Aniston,1,Drew Barrymore,1,Jennifer Connelly,1,Kevin Connolly,2,Ken Kwapis,0,none,none,none
The Rocker,2008,15000000,6409528,2357810,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,102,15000000,Comedy|Music,tt1031969,en,"Rob ""Fish"" Fishman is the drummer in '80s hair metal band Vesuvius. He's unceremoniously booted as the group signs a big record deal, is out of the music world for 20 years - and then receives a second chance with his nephew's band.",1.359658,Fox Atomic,United States of America,20/08/2008,8762890,102,English,Opportunity rocks.,5.6,145,Rainn Wilson,2,Josh Gad,2,Christina Applegate,1,Emma Stone,1,Teddy Geiger,2,Peter Cattaneo,2,Shawn Levy,Wallace Wolodarsky,none
Swing Vote,2008,21000000,16289867,1300000,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,120,21000000,Drama|Comedy,tt1027862,en,"In a remarkable turn of events, the result of the presidential election comes down to one man's vote.",1.872451,Touchstone Pictures,United States of America,1/8/2008,17600000,120,English,One ordinary guy is giving the candidates a reason to run.,5.7,61,Kevin Costner,2,Madeline Carroll,1,Paula Patton,1,Kelsey Grammer,2,Dennis Hopper,2,Joshua Michael Stern,2,Kevin Costner,none,Jeff McEvoy
The Sisterhood of the Traveling Pants 2,2008,27000000,44089964,180167,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,1,119,27000000,Adventure|Comedy|Drama|Family,tt1018785,en,"Four young women continue the journey toward adulthood that began with ""The Sisterhood of the Traveling Pants."" Now three years later, these lifelong friends embark on separate paths for their first year of college and the summer beyond, but remain in touch by sharing their experiences with each other.",0.639343,none,United States of America,6/8/2008,44352417,117,English,Some friends just fit together.,6.1,222,Alexis Bledel,1,Amber Tamblyn,1,America Ferrera,1,Blake Lively,1,Rachel Nichols,1,Sanaa Hamri,1,none,Elizabeth Chandler,none
Pineapple Express,2008,26000000,87341380,15062639,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,112,27000000,Action|Comedy,tt0910936,en,A stoner and his dealer are forced to go on the run from the police after the pothead witnesses a cop commit a murder.,3.230667,Columbia Pictures,United States of America,6/8/2008,101624843,111,English,Put this in your pipe and smoke it.,6.6,1093,Seth Rogen,2,James Franco,2,Danny McBride,2,none,0,Gary Cole,2,David Gordon Green,2,Judd Apatow,Seth Rogen,Craig Alpert
How to Train Your Dragon,2010,165000000,217581231,277289760,PG,Fantasy,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,91,165000000,Fantasy|Adventure|Animation|Family,tt0892769,en,"As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father",5.32888,DreamWorks Animation,United States of America,5/3/2010,494878759,98,English,One adventure will change two worlds,7.5,3914,Jay Baruchel,2,Gerard Butler,2,Craig Ferguson,2,America Ferrera,1,Jonah Hill,2,Dean DeBlois,2,Bonnie Arnold,Will Davies,Maryann Brandon
Shrek Forever After,2010,165000000,238736787,517507886,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,1,93,165000000,Comedy|Adventure|Fantasy|Animation|Family,tt0892791,en,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",3.663881,DreamWorks Animation,United States of America,16/05/2010,752600867,93,English,It ain't Ogre... Til it's Ogre,6,1764,Mike Myers,2,Eddie Murphy,2,Cameron Diaz,1,Antonio Banderas,2,Julie Andrews,1,Mike Mitchell,2,none,none,none
Toy Story 3,2010,200000000,415004880,654661124,G,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,102,200000000,Animation|Family|Comedy,tt0435761,en,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",7.050028,Walt Disney Pictures,United States of America,16/06/2010,1066969703,103,English,No toy gets left behind.,7.6,4223,Tom Hanks,2,Tim Allen,2,Ned Beatty,2,Joan Cusack,1,Michael Keaton,2,Lee Unkrich,2,John Lasseter,Michael Arndt,Ken Schretzmann
Thor,2011,150000000,181030624,268295994,PG-13,Super Hero,Based on Comic/Graphic Novel,Live Action,Action,0,113,150000000,Adventure|Fantasy|Action,tt0800369,en,"Against his father Odin's will, The Mighty Thor -a powerful but arrogant warrior god -recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",11.379025,Marvel Studios,United States of America,21/04/2011,449326618,115,English,Two worlds. One hero.,6.6,6061,Chris Hemsworth,2,Natalie Portman,1,Tom Hiddleston,2,Anthony Hopkins,2,Stellan SkarsgÃ¥rd,2,Kenneth Branagh,2,Kevin Feige,Ashley Edward Miller,Paul Rubell
The Last Airbender,2010,150000000,131772187,187941694,PG,Fantasy,Based on TV,Live Action,Adventure,0,103,150000000,Action|Adventure|Family|Fantasy,tt0938283,en,"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",2.336603,Paramount Pictures,United States of America,30/06/2010,318502923,103,English,"Four nations, one destiny",4.7,1062,Noah Ringer,2,Nicola Peltz,1,Jackson Rathbone,2,Dev Patel,2,Shaun Toub,2,M. Night Shyamalan,2,none,none,none
Nine,2009,80000000,19676965,33831893,PG-13,Contemporary Fiction,Based on Musical or Opera,Live Action,Musical,0,118,80000000,Drama|Music|Romance,tt0875034,en,"Arrogant, self-centered movie director Guido Contini finds himself struggling to find meaning, purpose, and a script for his latest film endeavor. With only a week left before shooting begins, he desperately searches for answers and inspiration from his wife, his mistress, his muse, and his mother.",1.364141,The Weinstein Company,Italy,3/12/2009,53825515,112,English,,5.1,153,Judi Dench,1,Daniel Day-Lewis,2,Marion Cotillard,1,PenÃ©lope Cruz,1,Sophia Loren,1,Rob Marshall,2,Marc Platt,Michael Tolkin,none
The Princess and the Frog,2009,105000000,104400899,166596479,G,Kids Fiction,Based on Fiction Book/Short Story,Hand Animation,Adventure,0,97,105000000,Romance|Family|Animation|Music,tt0780521,en,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to do face the same problem after she kisses him.",4.0244,Walt Disney Pictures,United States of America,8/12/2009,267045765,97,Français,Every Love Story Begins With a Kiss...,6.7,1100,Anika Noni Rose,1,Bruno Campos,2,Keith David,2,Michael-Leon Wooley,2,Jennifer Cody,1,Ron Clements,2,Peter Del Vecho,Ron Clements,Jeff Draheim
The Tale of Despereaux,2008,60000000,50877145,39605172,G,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,93,60000000,Adventure|Animation|Family,tt0420238,en,"Once upon a time... in the far away kingdom of Dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. Banished from his home for having such lofty ambitions, Despereaux sets off on an amazing adventure with his good-hearted rat friend Roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness.",1.936618,Larger Than Life Productions,United Kingdom,19/12/2008,50877145,93,English,Small Mouse. Big Dreams,5.8,234,Matthew Broderick,2,Dustin Hoffman,2,Emma Watson,1,Tracey Ullman,0,Kevin Kline,2,Robert Stevenhagen,0,Gary Ross,Gary Ross,Mark Solomon
Yes Man,2008,50000000,97690976,128300000,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Comedy,0,104,70000000,Comedy|Romance,tt1068680,en,Carl Allen has stumbled across a way to shake free of post-divorce blues and a dead-end job: embrace life and say yes to everything.,3.700296,The Zanuck Company,United States of America,9/12/2008,225990978,104,Eesti,One Word Can Change Everything.,6.4,1665,Jim Carrey,2,Zooey Deschanel,1,Rhys Darby,2,Sasha Alexander,1,Fionnula Flanagan,1,Peyton Reed,2,David Heyman,Nicholas Stoller,Craig Alpert
Bedtime Stories,2008,80000000,110101975,111366960,PG,Fantasy,Original Screenplay,Live Action,Adventure,0,99,80000000,Fantasy|Comedy|Family|Romance,tt0960731,en,Skeeter Bronson is a down-on-his-luck guy who's always telling bedtime stories to his niece and nephew. But his life is turned upside down when the fantastical stories he makes up for entertainment inexplicably turn into reality. Can a bewildered Skeeter manage his own unruly fantasies now that the outrageous characters and situations from his mind have morphed into actual people and events?,2.24617,Walt Disney Pictures,United States of America,24/12/2008,212874442,99,English,Whatever they dream up... he has to survive.,5.9,834,Adam Sandler,2,Keri Russell,1,Guy Pearce,2,Courteney Cox,1,Lucy Lawless,1,Adam Shankman,2,none,Tim Herlihy,none
The Men Who Stare at Goats,2009,24000000,32428195,34920023,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Black Comedy,0,94,24000000,Comedy|War,tt1234548,en,"A reporter in Iraq might just have the story of a lifetime when he meets Lyn Cassady, a guy who claims to be a former member of the U.S. Army's New Earth Army, a unit that employs paranormal powers in their missions.",2.656062,BBC Films,United States of America,17/10/2009,68729358,93,English,No goats. No glory.,5.9,695,George Clooney,2,Ewan McGregor,2,Jeff Bridges,2,Kevin Spacey,2,Robert Patrick,2,Grant Heslov,2,none,Peter Straughan,none
Fantastic Mr. Fox,2009,40000000,21002919,26082145,PG,Kids Fiction,Based on Fiction Book/Short Story,Stop-Motion Animation,Adventure,0,88,40000000,Adventure|Animation|Comedy|Family,tt0432283,en,"The Fantastic Mr. Fox bored with his current life, plans a heist against the three local farmers. The farmers, tired of sharing their chickens with the sly fox, seek revenge against him and his family.",3.375094,Twentieth Century Fox Film Corporation,United States of America,23/10/2009,46471023,87,English,Dig the life fantastic!,7.5,1095,George Clooney,2,Meryl Streep,1,Jason Schwartzman,2,Bill Murray,2,Wallace Wolodarsky,2,Wes Anderson,2,none,Noah Baumbach,Claire Dodgson
The Ides of March,2011,23000000,40962534,36773391,R,Contemporary Fiction,Based on Play,Live Action,Drama,0,101,12500000,Drama,tt1124035,en,Dirty tricks stand to soil an ambitious young press spokesman's idealism in a cutthroat presidential campaign where 'victory' is relative.,1.07282,Appian Way,United States of America,24/09/2011,75993061,101,English,Ambition seduces. Power corrupts.,6.5,859,Ryan Gosling,2,George Clooney,2,Philip Seymour Hoffman,2,Paul Giamatti,2,Evan Rachel Wood,1,George Clooney,2,Grant Heslov,Beau Willimon,Stephen Mirrione
Clash of the Titans,2010,125000000,163214888,330000000,PG-13,Fantasy,Remake,Live Action,Action,0,106,15000000,Adventure|Fantasy|Family,tt0082186,en,"To win the right to marry his love, the beautiful princess Andromeda, and fulfil his destiny, Perseus must complete various tasks including taming Pegasus, capturing Medusa's head, and battling the Kraken monster.",1.906672,Metro-Goldwyn-Mayer (MGM),United States of America,15/03/1981,41092328,118,English,You will feel the power. Live the adventure. Experience the fantastic.,6.8,195,Laurence Olivier,2,Claire Bloom,1,Maggie Smith,1,Jack Gwillim,2,Harry Hamlin,2,Desmond Davis,2,Ray Harryhausen,Beverley Cross,Timothy Gee
Zack and Miri Make a Porno,2008,24000000,31457946,5398360,R,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,101,24000000,Comedy,tt1007028,en,"Lifelong platonic friends Zack and Miri look to solve their respective cash-flow problems by making an adult film together. As the cameras roll, however, the duo begin to sense that they may have more feelings for each other than they previously thought.",2.697065,Blue Askew,United States of America,18/09/2008,42105111,102,English,What would you do to get out of debt?,6.1,679,Seth Rogen,2,Elizabeth Banks,1,Jennifer Schwalbach Smith,0,Jason Mewes,2,Gerry Bednob,2,Kevin Smith,2,Scott Mosier,none,Kevin Smith
Two Lovers,2009,12000000,3149034,13200000,R,Contemporary Fiction,Original Screenplay,Live Action,Drama,0,109,12000000,Drama|Romance,tt1103275,en,A depressed man moves back in with his parents following a recent heartbreak.,1.318182,2929 Productions,France,19/11/2008,3148182,110,English,,6.5,145,Joaquin Phoenix,2,Gwyneth Paltrow,1,Isabella Rossellini,1,Vinessa Shaw,1,Moni Moshonov,0,James Gray,2,Donna Gigliotti,James Gray,John Axelrad
War,2007,25000000,22486409,18200000,R,Contemporary Fiction,Original Screenplay,Live Action,Action,0,103,25000000,Action|Thriller|Crime,tt0499556,en,"FBI agent Jack Crawford is out for revenge when his partner is killed and all clues point to the mysterious assassin Rogue. But when Rogue turns up years later to take care of some unfinished business, he triggers a violent clash of rival gangs. Will the truth come out before it's too late? And when the dust settles, who will remain standing?",2.963495,Mosaic Media Group,United States of America,24/08/2007,40452643,103,??? / ???,Vengeance is the ultimate weapon.,6,394,Jet Li,2,Jason Statham,2,John Lone,2,Devon Aoki,1,Luis GuzmÃ¡n,2,Philip G. Atwell,2,Steve Chasman,none,Scott Richter
Death Race,2008,65000000,36316032,36200787,R,Science Fiction,Remake,Live Action,Action,0,110,45000000,Action|Thriller|Science Fiction,tt0452608,en,"Terminal Island, New York: 2020. Overcrowding in the US penal system has reached a breaking point. Prisons have been turned over to a monolithic Weyland Corporation, which sees jails full of thugs as an opportunity for televised sport. Adrenalized inmates, a global audience hungry for violence and a spectacular, enclosed arena come together to form the 'Death Race', the biggest, most brutal event.",4.800954,Universal Pictures,United Kingdom,22/08/2008,73762516,105,English,Get ready for a killer race.,6,1092,Jason Statham,2,Joan Allen,1,Ian McShane,2,Tyrese Gibson,2,Natalie Martinez,1,Paul W.S. Anderson,2,Paul W.S. Anderson,Paul W.S. Anderson,none
Nim's Island,2008,37000000,48006762,53850663,PG,Fantasy,Based on Fiction Book/Short Story,Live Action,Adventure,0,96,37000000,Adventure|Comedy|Family|Fantasy,tt0410377,en,A young girl inhabits an isolated island with her scientist father and communicates with a reclusive author of the novel she's reading.,0.869263,Walden Media,United States of America,3/4/2008,100076342,96,English,Your adventure starts here.,5.6,300,Abigail Breslin,1,Jodie Foster,1,Gerard Butler,2,Michael Carman,2,Mark Brady,2,Jennifer Flackett,1,Paula Mazur,Paula Mazur,Stuart Levy
Bride Wars,2009,30000000,58715510,56434914,PG,Contemporary Fiction,Original Screenplay,Live Action,Comedy,0,89,30000000,Comedy,tt0901476,en,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,2.195929,Dune Entertainment,United States of America,9/1/2009,114663461,89,English,May the best bride win,5.8,771,Anne Hathaway,1,Kate Hudson,1,Bryan Greenberg,2,Chris Pratt,2,Steve Howey,2,Gary Winick,2,none,Greg DePaul,none
W.,2008,25100000,25534493,3041285,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,129,25100000,Drama|History,tt1175491,en,"Whether you love him or hate him, there is no question that George W. Bush is one of the most controversial public figures in recent memory. W takes viewers through Bush’s eventful life -- his struggles and triumphs, how he found both his wife and his faith, and of course the critical days leading up to Bush’s decision to invade Iraq.",1.582383,Ixtlan Productions,United States of America,17/10/2008,29506464,131,Español,A life misunderestimated.,6,138,Josh Brolin,2,Elizabeth Banks,1,Ellen Burstyn,1,Ioan Gruffudd,2,Thandie Newton,1,Oliver Stone,2,Paul Hanson,Stanley Weiser,none
Madagascar: Escape 2 Africa,2008,150000000,180010950,419505894,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,1,89,150000000,Family|Animation,tt0479952,en,"Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of.",3.654632,DreamWorks Animation,United States of America,30/10/2008,603900354,89,English,Still together. Still lost!,6.2,1641,Ben Stiller,2,Jada Pinkett Smith,1,David Schwimmer,2,Chris Rock,2,Cedric the Entertainer,2,Eric Darnell,2,none,none,none
Sherlock Holmes,2009,90000000,209028679,289409533,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Adventure,0,133,90000000,Action|Adventure|Crime|Mystery,tt0988045,en,"Eccentric consulting detective, Sherlock Holmes and Doctor John Watson battle to bring down a new nemesis and unravel a deadly plot that could destroy England.",5.151635,Village Roadshow Pictures,Germany,23/12/2009,524028679,128,English,Nothing escapes him.,7,5423,Robert Downey Jr.,2,Jude Law,2,Rachel McAdams,1,Mark Strong,2,Eddie Marsan,2,Guy Ritchie,2,Susan Downey,Anthony Peckham,James Herbert
Bobby,2006,14000000,11242801,9355005,R,Dramatization,Based on Real Life Events,Live Action,Drama,0,116,0,History|Drama,tt0308055,en,"In 1968 the lives of a retired doorman, hotel manager, lounge singer, busboy, beautician and others intersect in the wake of Robert F. Kennedy's assassination at the Ambassador Hotel in Los Angeles.",1.955237,The Weinstein Company,United States of America,5/9/2006,0,120,English,He saw wrong and tried to right it. He saw suffering and tried to heal it. He saw war and tried to stop it.,6.4,110,Anthony Hopkins,2,Heather Graham,1,Ashton Kutcher,2,Mary Elizabeth Winstead,1,Helen Hunt,1,Emilio Estevez,2,Edward Bass,Emilio Estevez,Richard Chew
Sydney White,2007,16500000,11892415,1743924,PG-13,Contemporary Fiction,Based on Folk Tale/Legend/Fairytale,Live Action,Comedy,0,108,16500000,Comedy,tt0815244,en,A modern retelling of Snow White set against students in their freshman year of college in the greek system.,0.36443,Morgan Creek Productions,United States of America,21/09/2007,13620075,108,English,Freshman year is no fairytale,6,213,Amanda Bynes,1,Sara Paxton,1,Matt Long,2,Jeremy Howard,2,Danny Strong,2,Joe Nussbaum,2,James G. Robinson,none,Danny Saphire
Made of Honor,2008,40000000,46012734,60536004,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,101,40000000,Comedy|Romance,tt0866439,en,"Tom and Hannah have been platonic friends for 10 years. He's a serial dater, while she wants marriage but hasn't found Mr. Right. Just as Tom is starting to think that he is relationship material after all, Hannah gets engaged. When she asks Tom to be her 'maid' of honor, he reluctantly agrees just so he can attempt to stop the wedding and woo her.",1.759829,Columbia Pictures,United Kingdom,2/5/2008,84601681,101,English,He'll do anything to get the groom out of the picture.,5.9,357,Patrick Dempsey,2,Michelle Monaghan,1,Kevin McKidd,2,Chris Messina,2,Richmond Arquette,2,Paul Weiland,2,Neal H. Moritz,none,Richard Marks
Quantum of Solace,2008,230000000,169368427,422323651,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Action,1,106,200000000,Adventure|Action|Thriller|Crime,tt0830515,en,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",5.03401,Eon Productions,United Kingdom,30/10/2008,586090727,106,English,"For love, for hate, for justice, for revenge.",6.1,2819,Daniel Craig,2,Olga Kurylenko,1,Mathieu Amalric,2,Judi Dench,1,Giancarlo Giannini,2,Marc Forster,2,Barbara Broccoli,Paul Haggis,Matt Chesse
Inferno,2016,75000000,34355263,185217614,PG-13,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Thriller/Suspense,1,121,15000000,Action|Drama|Romance,tt0139151,en,"Eddie Lomax (Jean-Claude Van Damme) is a drifter who has been in a suicidal funk since the death of his close friend Johnny (Danny Trejo). Riding his motorcycle into a small desert town where Johnny once lived, Lomax is confronted by a gang of toughs, who beat him and steal his bike. However, Lomax is not a man to take an injustice lying down, and soon he begins exacting a violent revenge on the men who stole his motorcycle, with local handyman Jubal Early (Pat Morita) lending a hand and several area ladies offering aid and comfort.",0.990338,Davis-Films,United States of America,25/09/1999,0,95,English,Left for dead. Burning for revenge,5,45,Jean-Claude Van Damme,2,Pat Morita,2,Danny Trejo,2,Gabrielle Fitzpatrick,1,Larry Drake,2,John G. Avildsen,2,Evzen Kolar,Tom O'Rourke,Doug Seelig
Earth,2009,47000000,32011576,84761741,G,Factual,Based on TV,Live Action,Documentary,0,99,15000000,Documentary,tt0393597,en,"From the acclaimed team that brought you BBC's visual feast ""Planet Earth,"" this feature length film incorporates some of the same footage from the series with all new scenes following three remarkable, yet sadly endangered, families of animal across the globe.",1.229971,Gaumont,Germany,22/04/2007,109000000,90,English,The remarkable story of three families.,7.5,133,Patrick Stewart,2,Constantino Romero,2,James Earl Jones,0,Ken Watanabe,2,Ulrich Tukur,2,Alastair Fothergill,2,Sophokles Tasioulis,Alastair Fothergill,Martin Elsbury
The Great Gatsby,2012,190000000,144840419,206200000,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,141,6500000,Drama|Romance,tt0071577,en,"Nick Carraway, a young Midwesterner now living on Long Island, finds himself fascinated by the mysterious past and lavish lifestyle of his neighbor, the nouveau riche Jay Gatsby. He is drawn into Gatsby's circle, becoming a witness to obsession and tragedy.",0.559575,Paramount Pictures,United States of America,27/03/1974,26533200,144,English,Gone is the romance that was so divine.,6.2,132,Robert Redford,2,Mia Farrow,0,Bruce Dern,1,Karen Black,1,Sam Waterston,2,Jack Clayton,2,David Merrick,Francis Ford Coppola,Tom Priestley
The Ruins,2008,25000000,17432844,5477719,R,Contemporary Fiction,Based on Fiction Book/Short Story,Live Action,Horror,0,90,8000000,Drama|Horror,tt0963794,en,"A group of friends whose leisurely Mexican holiday takes a turn for the worse when they, along with a fellow tourist embark on a remote archaeological dig in the jungle, where something evil lives among the ruins",1.183133,Spyglass Entertainment,United States of America,2/4/2008,0,91,English,Terror has evolved.,5.6,240,Shawn Ashmore,2,Jonathan Tucker,2,Jena Malone,1,Laura Ramsey,1,Joe Anderson,2,Carter Smith,0,Chris Bender,Scott B. Smith,Jeff Betancourt
Coco avant Chanel,2009,23000000,6113834,44700000,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,110,0,Drama|History,tt1035736,fr,"2009 biopic about the early life of Coco Chanel. Several years after leaving the orphanage, to which her father never returned for her, Gabrielle Chanel finds herself working in a provincial bar both. She's both a seamstress for the performers and a singer, earning the nickname Coco from the song she sings nightly with her sister. A liaison with Baron Balsan gives her an entree into French society and a chance to develop her gift for designing.",0.458633,France 2 Cinéma,Belgium,22/04/2009,0,110,Français,,6.6,221,Audrey Tautou,1,BenoÃ®t Poelvoorde,2,Alessandro Nivola,2,Marie Gillain,1,Emmanuelle Devos,1,Anne Fontaine,1,Carole Scotta,Anne Fontaine,Luc Barnier
Music and Lyrics,2007,40000000,50572589,95624296,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,104,40000000,Comedy|Music|Romance,tt0758766,en,"A washed up singer is given a couple days to compose a chart-topping hit for an aspiring teen sensation. Though he's never written a decent lyric in his life, he sparks with an offbeat younger woman with a flair for words.",1.569549,Village Roadshow Pictures,United States of America,9/2/2007,145896422,96,English,Share the music with someone you love.,6.2,513,Drew Barrymore,1,Hugh Grant,2,Scott Porter,2,Brad Garrett,2,Haley Bennett,1,Marc Lawrence,2,Liz Glotzer,Marc Lawrence,Susan E. Morse
